method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
118cd7647225836f726fccd89abe60f5,b8bf40c0925abe603c91fdf787cdc63d,pair_dissolved_by_refactoring,refactored,moved,0.86,0.94
11b8f8b38b3ee5d608148bde244e22f3,6cf7f0ad33b5e1f7745a776687939393,pair_dissolved_naturally,exact,exact,1.0,1.0
11b997180be846953b52be5d2cb6ddd8,8d7eaf8eb3236bc798a15715a0a766a5,pair_dissolved_naturally,exact,exact,1.0,1.0
11cfdd2ca14357b865ce6185a0beb331,7c64be01003f3f3560e415e7a756e5f8,pair_dissolved_naturally,unknown,unknown,,
121d3cfb14d0ec39898cccb2d61809ef,ce8037d2315e291c6367aeaee7013e85,pair_dissolved_by_refactoring,exact,refactored,1.0,0.85
12308013430d4606488da8466754201c,3ed41ae9968941e8beeb2d754b778c29,pair_dissolved_naturally,unknown,unknown,,
12308013430d4606488da8466754201c,50538d846f134eeba814d0f27af920cc,pair_dissolved_naturally,unknown,unknown,,
12308013430d4606488da8466754201c,d7fdf872654e33dd3b85155fe8a17ab7,pair_dissolved_naturally,unknown,unknown,,
12573b566124b31d2130444789c189ca,864d5a8ca8eee59398bce2e9a33bbd5e,pair_dissolved_naturally,exact,exact,1.0,1.0
12573b566124b31d2130444789c189ca,a6b92eebae9cf5a382153df418fa12d3,pair_dissolved_naturally,exact,exact,1.0,1.0
125e485517371a891d2ca095edd5e892,d7a800840216b9ed0995a9d7e452db69,pair_dissolved_naturally,exact,exact,1.0,1.0
1273f8a7c545f26edb53363cbd7827a1,322748de5bf63900404617f5f53ac009,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
12829813a168cb4347b9ac44f005adb5,3f429cac6d11fdce4483d0578b1ee14d,pair_dissolved_naturally,exact,exact,1.0,1.0
12a66f104b75a43e9718ce2ef7f51c05,cdc4cfd95d64028aff25e557f5a28564,method_a_deleted,deleted,exact,,1.0
12b51d70ffaeddb88a36eca72166c146,f5ee353944b80bad5f93ba731254c033,pair_dissolved_naturally,exact,exact,1.0,1.0
12c8b1938872cc683565ae13f880d732,adc15e5997e38e597449f59114759410,pair_dissolved_naturally,exact,exact,1.0,1.0
12c974b27991f440b7120282812d387c,b1a6edf29b207d11940feeb0060fad15,pair_dissolved_naturally,exact,exact,1.0,1.0
13185616c0d82f0e97019559d78074d1,5813b0d61e3cddc5b3afbdeefdefaa8b,pair_dissolved_naturally,exact,exact,1.0,1.0
1322c7ca9056154c35424071803772f5,9a8e7086105dfccd98272cac5fbd9703,pair_dissolved_by_refactoring,signature_changed,exact,0.95,1.0
1322c7ca9056154c35424071803772f5,d1b699a1e0b30abc1cb7b053aed9a4b7,pair_dissolved_by_refactoring,signature_changed,exact,0.95,1.0
1322c7ca9056154c35424071803772f5,f996c677be42781d418373a537803ea6,pair_dissolved_by_refactoring,signature_changed,exact,0.95,1.0
134c9a69d68a40a2caf30c350aa8964f,38fdb99fadc1748e3b90df02bd2e0c81,method_a_deleted,deleted,exact,,1.0
134c9a69d68a40a2caf30c350aa8964f,42f2f89eb2292edb61026bff23a7acb8,method_a_deleted,deleted,exact,,1.0
13636ea912585aa286f0cd360893ec71,e431f1d7a490b57f7011f2d6e4f84040,pair_dissolved_naturally,exact,exact,1.0,1.0
137d3a44269144723378f9f8c5d7f076,75406b3c9c133b9a6e5329d0493b135f,pair_dissolved_by_refactoring,moved,refactored,0.93,0.87
