/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,128,137,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,222,229,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,69,74,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,81,86,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,153,160,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,268,274,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,24,31,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,38,45,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,69,74,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,139,144,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,19,26,get_period_count,None,[self:Any;start_date:Any;off:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,134,141,get_period_count,None,[self:Any;start_date:Any;off:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,176,183,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,222,229,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,16,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,128,137,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,176,183,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,268,274,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,7,17,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,38,45,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,81,86,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,139,144,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,42,49,get_period_count,None,[self:Any;start_date:Any;off:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,134,141,get_period_count,None,[self:Any;start_date:Any;off:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,199,206,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,222,229,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,32,40,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,128,137,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/reshape.py,8,15,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reshape.py,65,75,setup,None,[self:Any]
