group_id,group_size,avg_similarity,total_methods,deleted_count,deleted_ratio,is_fully_deleted,is_partially_deleted,is_surviving
458,3,87.5,3,0,0.0,False,False,True
80,7,76.08333333333333,7,7,1.0,True,False,False
1174,2,83.0,2,0,0.0,False,False,True
1157,2,82.0,2,0,0.0,False,False,True
1175,2,91.0,2,0,0.0,False,False,True
157,5,86.33333333333333,5,0,0.0,False,False,True
1176,2,100.0,2,0,0.0,False,False,True
44,9,75.0,9,0,0.0,False,False,True
1179,2,72.0,2,0,0.0,False,False,True
34,10,83.2,10,0,0.0,False,False,True
1141,2,88.0,2,0,0.0,False,False,True
1146,2,100.0,2,0,0.0,False,False,True
158,5,81.14285714285714,5,2,0.4,False,True,False
1158,2,73.0,2,0,0.0,False,False,True
1180,2,74.0,2,0,0.0,False,False,True
1163,2,83.0,2,0,0.0,False,False,True
1181,2,85.0,2,0,0.0,False,False,True
1189,2,93.0,2,0,0.0,False,False,True
1153,2,100.0,2,0,0.0,False,False,True
254,4,79.0,4,0,0.0,False,False,True
81,7,74.5,7,0,0.0,False,False,True
1195,2,77.0,2,0,0.0,False,False,True
253,4,82.16666666666667,4,0,0.0,False,False,True
463,3,75.5,3,0,0.0,False,False,True
1162,2,74.0,2,0,0.0,False,False,True
1183,2,73.0,2,0,0.0,False,False,True
1184,2,83.0,2,0,0.0,False,False,True
106,6,87.2,7,0,0.0,False,False,True
464,3,79.0,3,0,0.0,False,False,True
1172,2,73.0,2,0,0.0,False,False,True
1160,2,80.0,2,0,0.0,False,False,True
1156,2,90.0,2,0,0.0,False,False,True
1186,2,80.0,2,0,0.0,False,False,True
461,3,85.0,3,0,0.0,False,False,True
462,3,86.66666666666667,3,0,0.0,False,False,True
1166,2,100.0,2,0,0.0,False,False,True
1159,2,76.0,2,2,1.0,True,False,False
1161,2,82.0,2,0,0.0,False,False,True
45,9,79.6923076923077,9,0,0.0,False,False,True
1164,2,78.0,2,2,1.0,True,False,False
1190,2,88.0,2,0,0.0,False,False,True
468,3,84.0,3,0,0.0,False,False,True
1191,2,87.0,2,0,0.0,False,False,True
470,3,75.33333333333333,3,0,0.0,False,False,True
1193,2,80.0,2,0,0.0,False,False,True
159,5,80.2,5,0,0.0,False,False,True
1208,2,100.0,2,0,0.0,False,False,True
1210,2,91.0,2,0,0.0,False,False,True
1214,2,100.0,2,0,0.0,False,False,True
256,4,91.66666666666669,4,0,0.0,False,False,True
257,4,85.5,4,0,0.0,False,False,True
260,4,84.66666666666667,4,0,0.0,False,False,True
108,6,79.16666666666667,6,0,0.0,False,False,True
1215,2,70.0,2,0,0.0,False,False,True
1196,2,92.0,2,1,0.5,False,True,False
1198,2,88.0,2,0,0.0,False,False,True
1199,2,88.0,2,1,0.5,False,True,False
472,3,100.0,3,0,0.0,False,False,True
1202,2,70.0,2,0,0.0,False,False,True
473,3,77.5,3,0,0.0,False,False,True
480,3,83.5,3,0,0.0,False,False,True
1197,2,100.0,2,0,0.0,False,False,True
1218,2,93.0,2,0,0.0,False,False,True
267,4,77.0,4,0,0.0,False,False,True
1231,2,89.0,2,0,0.0,False,False,True
109,6,80.0,6,0,0.0,False,False,True
258,4,82.5,4,0,0.0,False,False,True
486,3,86.0,3,0,0.0,False,False,True
19,14,73.53333333333333,14,0,0.0,False,False,True
1200,2,100.0,2,2,1.0,True,False,False
1204,2,100.0,2,1,0.5,False,True,False
1278,2,71.0,2,0,0.0,False,False,True
1280,2,71.0,2,0,0.0,False,False,True
1252,2,79.0,2,0,0.0,False,False,True
474,3,93.0,3,0,0.0,False,False,True
1240,2,80.0,2,0,0.0,False,False,True
1237,2,73.0,2,0,0.0,False,False,True
479,3,82.0,3,0,0.0,False,False,True
265,4,82.66666666666667,4,0,0.0,False,False,True
1233,2,71.0,2,0,0.0,False,False,True
259,4,77.0,4,0,0.0,False,False,True
1250,2,74.0,2,0,0.0,False,False,True
1239,2,73.0,2,0,0.0,False,False,True
1256,2,100.0,2,0,0.0,False,False,True
1206,2,93.0,2,0,0.0,False,False,True
1258,2,100.0,2,0,0.0,False,False,True
1235,2,87.0,2,0,0.0,False,False,True
1265,2,85.0,2,0,0.0,False,False,True
1211,2,88.0,2,0,0.0,False,False,True
1203,2,70.0,2,0,0.0,False,False,True
1212,2,70.0,2,0,0.0,False,False,True
1201,2,79.0,2,0,0.0,False,False,True
1260,2,85.0,2,0,0.0,False,False,True
478,3,78.0,3,0,0.0,False,False,True
1242,2,82.0,2,0,0.0,False,False,True
1266,2,72.0,2,0,0.0,False,False,True
475,3,78.33333333333333,3,0,0.0,False,False,True
1244,2,78.0,2,0,0.0,False,False,True
476,3,79.66666666666667,3,0,0.0,False,False,True
477,3,75.5,3,0,0.0,False,False,True
1220,2,84.0,2,0,0.0,False,False,True
482,3,83.0,3,0,0.0,False,False,True
1221,2,70.0,2,0,0.0,False,False,True
1207,2,70.0,2,0,0.0,False,False,True
82,7,80.9090909090909,7,0,0.0,False,False,True
1268,2,76.0,2,0,0.0,False,False,True
1248,2,89.0,2,0,0.0,False,False,True
1205,2,79.0,2,0,0.0,False,False,True
1269,2,70.0,2,0,0.0,False,False,True
1251,2,92.0,2,0,0.0,False,False,True
1209,2,92.0,3,0,0.0,False,False,True
1222,2,100.0,2,0,0.0,False,False,True
1271,2,73.0,2,0,0.0,False,False,True
1223,2,93.0,2,0,0.0,False,False,True
268,4,80.75,4,0,0.0,False,False,True
1273,2,80.0,2,0,0.0,False,False,True
261,4,76.16666666666667,4,0,0.0,False,False,True
1274,2,88.0,2,0,0.0,False,False,True
1253,2,93.0,2,0,0.0,False,False,True
1216,2,81.0,2,0,0.0,False,False,True
1213,2,91.0,2,0,0.0,False,False,True
1217,2,70.0,2,0,0.0,False,False,True
1238,2,81.0,2,0,0.0,False,False,True
1224,2,100.0,2,0,0.0,False,False,True
1270,2,83.0,2,0,0.0,False,False,True
1585,1,0.0,2,0,0.0,False,False,True
7,26,83.87179487179488,27,0,0.0,False,False,True
161,5,79.25,7,0,0.0,False,False,True
262,4,80.4,4,0,0.0,False,False,True
1586,1,0.0,2,0,0.0,False,False,True
1276,2,78.0,2,0,0.0,False,False,True
1227,2,82.0,2,0,0.0,False,False,True
490,3,82.0,3,0,0.0,False,False,True
488,3,77.0,3,0,0.0,False,False,True
491,3,83.0,3,0,0.0,False,False,True
